state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
Washington,NA,Master,779,481.84,51236,1000,1/0/00,Personal Auto,Four-Door Car,2.704934
Arizona,Female,Bachelor,697,953.59,51236,94,1/0/00,Personal Auto,Four-Door Car,1131.464935
Nevada,Female,Bachelor,1,288,743.17,48767,108,1/0/00,Personal Auto,Two-Door Car,566.472247
California,Male,Bachelor,764,586.18,51236,106,1/0/00,Corporate Auto,SUV,529.881344
Washington,Male,College,536,307.65,36357,68,1/0/00,Personal Auto,Four-Door Car,17.269323
Oregon,Female,Bachelor,825,629.78,62902,69,1/0/00,Personal Auto,Two-Door Car,159.383042
Oregon,Female,College,538,089.86,55350,67,1/0/00,Corporate Auto,Four-Door Car,321.6
Arizona,Male,Master,721,610.03,51236,101,1/0/00,Corporate Auto,Four-Door Car,363.02968
Oregon,Male,Bachelor,2,412,750.40,14072,71,1/0/00,Corporate Auto,Four-Door Car,511.2
Oregon,Female,College,738,817.81,28812,93,1/0/00,Special Auto,Four-Door Car,425.527834
California,Male,College,473,899.20,51236,67,1/0/00,Personal Auto,Four-Door Car,482.4
California,NA,College,819,719.71,51236,110,1/0/00,Personal Auto,SUV,528
California,NA,Master,879,879.70,77026,110,1/2/00,Corporate Auto,Four-Door Car,472.029737
Arizona,NA,College,881,901.89,99845,110,1/1/00,Corporate Auto,SUV,528
California,NA,College,538,443.17,83689,70,1/2/00,Corporate Auto,Four-Door Car,307.139132
Oregon,NA,Bachelor,746,313.94,24599,64,1/1/00,Corporate Auto,Four-Door Car,42.920271
Nevada,NA,College,256,686.78,25049,67,1/0/00,Personal Auto,Two-Door Car,454.245098
California,NA,College,394,524.16,28855,101,1/0/00,Personal Auto,SUV,647.442031
Oregon,NA,College,571,033.31,51148,72,1/0/00,Personal Auto,Four-Door Car,308.981664
California,NA,College,816,261.71,66140,101,1/0/00,Corporate Auto,Four-Door Car,484.8
Oregon,NA,College,287,205.13,57749,74,1/0/00,Personal Auto,Two-Door Car,355.2
Washington,Male,Bachelor,617,710.93,61040,79,1/1/00,Personal Auto,Two-Door Car,20.382876
Arizona,NA,Bachelor,2,412,750.40,14072,71,1/0/00,Personal Auto,Four-Door Car,511.2
Nevada,NA,Bachelor,245,019.10,51236,73,1/3/00,Corporate Auto,Four-Door Car,554.376763
California,NA,Bachelor,239,210.79,17870,61,1/0/00,Corporate Auto,Four-Door Car,439.2
Oregon,NA,College,580,206.60,97541,72,1/0/00,Personal Auto,Four-Door Car,389.185006
California,NA,Bachelor,394,637.21,51236,111,1/0/00,Personal Auto,Four-Door Car,799.2
Washington,Male,College,916,206.32,29723,80,1/0/00,Personal Auto,Four-Door Car,20.985105
Arizona,NA,College,1,290,256.01,86584,111,1/2/00,Personal Auto,Four-Door Car,532.8
Oregon,NA,Master,323,536.05,75690,80,1/1/00,Personal Auto,Four-Door Car,384
Arizona,NA,College,245,458.35,23158,63,1/1/00,Personal Auto,Four-Door Car,322.294043
Nevada,NA,College,1,897,545.61,65999,237,1/0/00,Corporate Auto,Luxury SUV,615.927769
California,NA,Bachelor,471,532.13,51236,65,1/0/00,Personal Auto,Four-Door Car,308.15089
Washington,Female,College,473,787.17,51236,130,1/0/00,Personal Auto,SUV,23.820158
Oregon,NA,Bachelor,493,291.63,37260,62,1/0/00,Corporate Auto,Four-Door Car,15.437681
Arizona,NA,College,574,422.97,68987,71,1/0/00,Personal Auto,Four-Door Car,204.475147
California,NA,Bachelor,1,389,173.57,42305,117,1/0/00,Personal Auto,Four-Door Car,561.6
Oregon,NA,Master,738,097.67,65706,91,1/0/00,Personal Auto,Four-Door Car,436.8
Oregon,NA,Bachelor,309,003.41,51236,90,1/0/00,Personal Auto,Two-Door Car,648
Arizona,NA,College,252,163.31,53243,66,1/2/00,Personal Auto,Four-Door Car,157.397849
Nevada,NA,College,265,206.18,51236,70,1/1/00,Corporate Auto,Two-Door Car,484.318536
Oregon,NA,College,277,104.50,50071,71,1/0/00,Corporate Auto,Two-Door Car,18.918935
California,NA,Bachelor,393,900.64,60021,99,1/0/00,Personal Auto,Four-Door Car,882.871945
Arizona,NA,College,1,223,187.97,43244,103,1/0/00,Personal Auto,Sports Car,494.4
Washington,Male,Doctorate,495,165.61,46896,35354,1/1/00,Personal Auto,Four-Door Car,31.707317
Oregon,NA,Doctorate,1,281,910.29,10105,172,1/3/00,Personal Auto,SUV,0.517753
Arizona,NA,Bachelor,446,851.05,51236,73,1/3/00,Personal Auto,Four-Door Car,579.165954
Oregon,NA,College,551,434.40,23218,71,1/0/00,Personal Auto,Two-Door Car,447.79344
California,NA,Bachelor,334,387.53,51236,92,1/0/00,Corporate Auto,Four-Door Car,529.624084
Arizona,NA,College,229,447.89,51236,62,1/0/00,Personal Auto,Four-Door Car,313.023175
Oregon,NA,College,3,670,742.64,24804,104,1/0/00,Personal Auto,SUV,593.830288
California,NA,Bachelor,3,347,334.95,33190,106,1/0/00,Corporate Auto,SUV,508.8
Nevada,NA,College,798,343.17,36014,69,1/3/00,Special Auto,Four-Door Car,173.956072
Washington,Female,Master,487,938.48,67163,61,1/2/00,Personal Auto,Two-Door Car,33.192803
California,NA,Bachelor,429,399.73,16701,113,1/0/00,Personal Auto,Four-Door Car,831.625979
Arizona,NA,College,716,439.55,46623,91,1/0/00,Corporate Auto,Four-Door Car,436.8
California,NA,College,761,951.58,64749,64,1/0/00,Special Auto,Four-Door Car,302.56519
Arizona,NA,College,395,800.28,51236,101,1/0/00,Personal Auto,SUV,484.8
Oregon,NA,College,449,949.33,16969,124,1/2/00,Personal Auto,SUV,704.768111
Oregon,NA,Master,405,956.74,11621,108,1/0/00,Personal Auto,Four-Door Car,518.4
Arizona,NA,Bachelor,445,811.34,17622,65,1/1/00,Personal Auto,Four-Door Car,312
California,NA,Bachelor,811,033.31,11489,105,1/0/00,Personal Auto,Two-Door Car,504
Oregon,NA,Bachelor,333,976.49,51236,94,1/0/00,Personal Auto,Two-Door Car,863.327324
California,NA,College,2,426,101.78,66525,100,1/0/00,Personal Auto,SUV,104.331355
Arizona,NA,Bachelor,661,397.37,51236,63,1/0/00,Personal Auto,Four-Door Car,676.391482
Washington,NA,College,293,069.35,33663,73,1/0/00,Personal Auto,Four-Door Car,350.4
Oregon,NA,College,867,219.43,22547,112,1/0/00,Corporate Auto,SUV,537.6
Arizona,NA,College,1,163,866.93,61486,97,1/0/00,Personal Auto,Two-Door Car,465.258644
Oregon,NA,Bachelor,684,615.03,51236,95,1/0/00,Personal Auto,Two-Door Car,456
California,NA,College,1,172,777.65,29879,102,1/0/00,Personal Auto,Four-Door Car,500.254235
Oregon,NA,College,2,264,383.48,93011,113,1/0/00,Personal Auto,SUV,281.451042
Oregon,NA,Master,261,447.43,65186,65,1/0/00,Personal Auto,Two-Door Car,5.434505
Oregon,NA,Master,245,175.27,26840,64,1/2/00,Personal Auto,Four-Door Car,307.2
Oregon,NA,Bachelor,678,127.02,51236,104,1/1/00,Personal Auto,Sports Car,982.399613
Oregon,NA,Bachelor,497,480.15,75644,65,1/3/00,Personal Auto,Two-Door Car,467.803638
Oregon,NA,Bachelor,859,160.49,38984,73,1/0/00,Personal Auto,Four-Door Car,350.4
Oregon,NA,College,559,216.14,71811,71,1/0/00,Personal Auto,Four-Door Car,29.03416
Nevada,NA,College,800,947.28,20961,67,1/0/00,Personal Auto,Four-Door Car,321.6
Washington,Female,Master,779,481.84,41275,96,1/0/00,Personal Auto,Four-Door Car,41.122303
California,NA,Bachelor,5,816,655.35,61321,186,1/1/00,Personal Auto,Luxury Car,427.63121
California,NA,College,802,522.94,51236,77,1/0/00,Personal Auto,Two-Door Car,25.807685
California,NA,College,578,018.22,51066,74,1/0/00,Personal Auto,Four-Door Car,787.993313
California,NA,Doctorate,411,853.91,34378,102,1/0/00,Personal Auto,SUV,489.6
Nevada,NA,Master,252,307.02,43072,63,1/0/00,Personal Auto,Four-Door Car,302.4
Oregon,NA,College,655,421.64,25222,90,1/0/00,Personal Auto,Four-Door Car,475.623251
Washington,Female,Bachelor,538,275.20,77552,68,1/1/00,Corporate Auto,Four-Door Car,45.215059
California,NA,College,592,672.94,23091,96,1/5/00,Personal Auto,Four-Door Car,460.8
California,NA,Bachelor,268,347.07,48269,69,1/3/00,Corporate Auto,Four-Door Car,282.151207
Oregon,NA,Bachelor,269,518.24,32720,67,1/0/00,Personal Auto,Four-Door Car,321.6
California,NA,College,604,702.52,20396,76,1/1/00,Personal Auto,Four-Door Car,364.8
Oregon,NA,College,1,317,101.28,21513,119,1/1/00,Personal Auto,Two-Door Car,679.827592
Washington,Female,College,1,595,001.95,51236,87,1/1/00,Personal Auto,Two-Door Car,46.041452
Oregon,NA,Bachelor,252,765.38,80744,63,1/0/00,Corporate Auto,Four-Door Car,11.879037
Oregon,NA,Bachelor,267,209.58,52822,67,1/0/00,Corporate Auto,Two-Door Car,350.529033
California,NA,College,531,329.40,51236,77,1/1/00,Personal Auto,Four-Door Car,863.3947
Oregon,NA,Bachelor,2,094,619.25,69738,74,1/1/00,Personal Auto,Four-Door Car,492.127532
Arizona,NA,Master,837,535.39,17780,109,1/0/00,Personal Auto,SUV,132.588288
California,NA,Bachelor,480,166.15,18107,62,1/0/00,Personal Auto,Four-Door Car,297.6
Arizona,NA,Bachelor,574,594.33,57740,74,1/3/00,Personal Auto,Four-Door Car,269.905129
Oregon,NA,College,606,611.60,32627,76,1/0/00,Personal Auto,Two-Door Car,380.036697
California,NA,College,800,230.83,51236,107,1/0/00,Personal Auto,SUV,513.6
California,NA,College,239,391.54,51236,70,1/0/00,Personal Auto,Four-Door Car,425.266308
Oregon,NA,Bachelor,476,281.79,65795,62,1/1/00,Corporate Auto,Two-Door Car,49.011099
California,NA,College,433,038.60,60475,107,1/0/00,Personal Auto,Four-Door Car,513.6
California,NA,College,940,272.98,51236,130,1/0/00,Personal Auto,SUV,936
Oregon,NA,Bachelor,696,669.45,41837,88,1/0/00,Personal Auto,Four-Door Car,142.062768
California,NA,Bachelor,769,406.43,32303,65,1/0/00,Personal Auto,Four-Door Car,45.152521
Oregon,NA,College,871,756.11,51236,117,1/1/00,Personal Auto,SUV,561.6
California,NA,Bachelor,592,874.85,40531,74,1/0/00,Personal Auto,Two-Door Car,30.567357
Oregon,NA,College,245,297.73,79898,62,1/1/00,Corporate Auto,Four-Door Car,271.606799
California,NA,College,670,157.17,56398,85,1/0/00,Personal Auto,Four-Door Car,408
Washington,Male,College,499,655.27,71600,63,1/0/00,Personal Auto,Two-Door Car,46.158117
Arizona,NA,College,849,269.88,27804,109,1/0/00,Personal Auto,SUV,784.8
Oregon,NA,Bachelor,771,349.40,45506,66,1/2/00,Personal Auto,Four-Door Car,316.8
Washington,Female,Master,518,579.76,99428,6464,1/1/00,Personal Auto,Four-Door Car,48.046869
California,NA,College,729,006.98,51236,102,1/1/00,Corporate Auto,SUV,489.6
Oregon,NA,College,477,294.38,20993,133,1/0/00,Personal Auto,SUV,638.4
Arizona,NA,College,680,649.14,37839,86,1/0/00,Personal Auto,Two-Door Car,465.633954
